Individual,PC,score
2,1,-0.24
2,2,-0.54
2,3,0.45
7,1,0.1
7,2,0.2
7,3,0.14
8,1,0.18
8,2,0.14
8,3,0.1
9,1,-0.47
9,2,-0.32
9,3,-0.44
10,1,-0.11
10,2,0.6
10,3,-0.97
13,1,0.51
13,2,0.16
13,3,0.03
14,1,0.16
14,2,1.12
14,3,0.29
17,1,-0.5
17,2,0.94
17,3,0.13
22,1,0.4
22,2,0.1
22,3,-0.92
27,1,1.22
27,2,0.78
27,3,0.24
28,1,-0.08
28,2,-0.21
28,3,-0.09
31,1,-1.3
31,2,0.02
31,3,0.17
33,1,0.41
33,2,-0.38
33,3,0.67
34,1,0.47
34,2,-0.83
34,3,-0.44
35,1,-0.32
35,2,0.92
35,3,-0.45
36,1,0.69
36,2,-0.51
36,3,-0.13
37,1,0.46
37,2,-0.49
37,3,-0.12
38,1,0.58
38,2,-0.18
38,3,-0.05
43,1,-0.1
43,2,-0.35
43,3,-0.61
44,1,0.57
44,2,-0.69
44,3,-0.21
45,1,0.23
45,2,-0.03
45,3,0.9
46,1,-0.16
46,2,-0.16
46,3,0.8
49,1,0.16
49,2,0.74
49,3,-0.04
50,1,0.54
50,2,0.47
50,3,0.83
51,1,0.84
51,2,0.36
51,3,0.86
52,1,0.04
52,2,-0.07
52,3,0.37
53,1,-0.12
53,2,0.14
53,3,0.27
54,1,1.26
54,2,-1.3
54,3,-0.76
55,1,1.24
55,2,-0.38
55,3,-0.25
56,1,-0.49
56,2,-0.78
56,3,-1.05
57,1,1.36
57,2,-0.44
57,3,0.13
62,1,-0.12
62,2,0.98
62,3,0.11
63,1,0.18
63,2,0.37
63,3,0.01
66,1,0.4
66,2,-0.63
66,3,-0.08
69,1,-0.51
69,2,-0.71
69,3,-0.47
70,1,-0.27
70,2,-1.56
70,3,0.2
77,1,0.93
77,2,-0.74
77,3,-0.11
81,1,-0.45
81,2,0.72
81,3,0.23
82,1,0.54
82,2,0.15
82,3,-0.04
83,1,-0.07
83,2,0.17
83,3,0.23
84,1,-0.5
84,2,0.35
84,3,-0.42
88,1,-1.03
88,2,0.51
